"Municipality_code","Order","Municipality_description","Province_code","Province_initials","nschools","Students_grade_1","Classes_grade_1","Students_per_class_1","Students_grade_2","Classes_grade_2","Students_per_class_2","Students_grade_3","Classes_grade_3","Students_per_class_3","Students_grade_4","Classes_grade_4","Students_per_class_4","Students_grade_5","Classes_grade_5","Students_per_class_5","Students_grade_6","Classes_grade_6","Students_per_class_6","Students_grade_7","Classes_grade_7","Students_per_class_7","Students_grade_8","Classes_grade_8","Students_per_class_8","Students_grade_9","Classes_grade_9","Students_per_class_9","Students_grade_10","Classes_grade_10","Students_per_class_10","Students_grade_11","Classes_grade_11","Students_per_class_11","Students_grade_12","Classes_grade_12","Students_per_class_12","Students_grade_13","Classes_grade_13","Students_per_class_13","Tot_Students","Tot_Classes","Students_per_class_Tot","Availability","Inner_area"
"090013","High","Bonorva",90,"SS",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,13,13,1,13,11,1,11,27,2,13.5,15,1,15,79,6,13.1666666666667,0.5,1
"090013","Middle","Bonorva",90,"SS",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,2,19.5,31,2,15.5,26,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,6,16,1,1
"090013","Primary","Bonorva",90,"SS",1,24,1,24,28,2,14,26,2,13,23,1,23,24,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,7,17.8571428571429,1,1
"090017","High","Budduso'",90,"SS",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,24,16,1,16,19,1,19,26,2,13,14,1,14,99,6,16.5,0.5,1
"090017","Middle","Budduso'",90,"SS",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,3,20.6666666666667,53,3,17.6666666666667,40,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,8,19.375,1,1
"090017","Primary","Budduso'",90,"SS",1,45,2,22.5,39,2,19.5,44,3,14.6666666666667,49,3,16.3333333333333,59,3,19.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,13,18.1538461538462,1,1
"090018","Middle","Bultei",90,"SS",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,5,4,1,4,11,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,6.66666666666667,1,1
"090018","Primary","Bultei",90,"SS",1,0,0,0,7,1,7,6,1,6,10,1,10,7,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,4,7.5,1,1
"090020","Primary","Burgos",90,"SS",1,9,1,9,5,1,5,7,1,7,4,1,4,9,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,5,6.8,1,1
"090021","High","Calangianus",90,"SS",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,17,23,2,11.5,19,1,19,0,0,0,11,1,11,70,5,14,0.5,1
"090021","Middle","Calangianus",90,"SS",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,2,16,32,2,16,38,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,6,17,1,1
"090021","Primary","Calangianus",90,"SS",1,23,1,23,26,1,26,21,1,21,24,1,24,19,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,5,22.6,1,1
"090022","Middle","Cargeghe",90,"SS",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,10,13,1,13,14,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,3,12.3333333333333,1,0
"090023","High","Castelsardo",90,"SS",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,2,20.5,33,2,16.5,26,2,13,24,2,12,14,1,14,138,9,15.3333333333333,1,1
"090023","Middle","Castelsardo",90,"SS",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,3,18.3333333333333,55,3,18.3333333333333,56,3,18.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,9,18.4444444444444,1,1
"090023","Primary","Castelsardo",90,"SS",2,47,3,15.6666666666667,63,3,21,47,3,15.6666666666667,46,3,15.3333333333333,59,4,14.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,16,16.375,1,1
"090025","Middle","Chiaramonti",90,"SS",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,19,15,1,15,19,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,3,17.6666666666667,1,1
"090025","Primary","Chiaramonti",90,"SS",1,18,1,18,14,1,14,15,1,15,14,1,14,9,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,5,14,1,1
"090026","Middle","Codrongianos",90,"SS",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,5,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,5,1,0
"090028","Primary","Esporlatu",90,"SS",1,1,1,1,3,1,3,4,1,4,0,0,0,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,5,1,1
"090029","Middle","Florinas",90,"SS",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,18,14,1,14,18,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,3,16.6666666666667,1,0
"090029","Primary","Florinas",90,"SS",1,18,1,18,21,1,21,16,1,16,20,1,20,14,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,5,17.8,1,0
